rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
13,Le Viny babershop,84028,"Zweibrückenstraße 677, 84028 Landshut",4.9,224,21–50,21,50,35.5,13.68,4.366,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Le+Viny+babershop/data=!4m7!3m6!1s0x479e275cd2afe0f7:0x867e5fefdf04158e!8m2!3d48.5398519!4d12.150881!16s%2Fg%2F11gkx1_qv2!19sChIJ9-Cv0lwnnkcRjhUE3-9ffoY?authuser=0&hl=de&rclk=1
14,Call a Pizza Landshut,84028,"Seligenthaler Str. 48, 84034 Landshut",4.4,173,21–50,21,50,35.5,17.03,3.821,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Call+a+Pizza+Landshut/data=!4m7!3m6!1s0x479e25e17f4ad85f:0xdbea9b312a329d73!8m2!3d48.5450775!4d12.1438004!16s%2Fg%2F1ptz0rrj5!19sChIJX9hKf-ElnkcRc50yKjGb6ts?authuser=0&hl=de&rclk=1
15,Primo Pizzeria Restaurant & Heimservice - Landshut,84028,"Sonnenstraße 17, 84030 Ergolding",4.7,136,21–50,21,50,35.5,20.7,3.934,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Primo+Pizzeria+Restaurant+%26+Heimservice+-+Landshut/data=!4m7!3m6!1s0x479e2602878fb36f:0x5416ff2d748847d4!8m2!3d48.5581158!4d12.1630958!16s%2Fg%2F1tdpqn8z!19sChIJb7OPhwImnkcR1EeIdC3_FlQ?authuser=0&hl=de&rclk=1
16,Gasthof Ramsauer,84030,"Hauptstraße 70, 84088 Neufahrn in Niederbayern",4.8,135,21–50,21,50,35.5,20.82,4.009,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Gasthof+Ramsauer/data=!4m10!3m9!1s0x479fd33b442de3d5:0x700b076882ddbf6f!5m2!4m1!1i2!8m2!3d48.7328102!4d12.1893295!16s%2Fg%2F1tg4vvgn!19sChIJ1eMtRDvTn0cRb7_dgmgHC3A?authuser=0&hl=de&rclk=1
17,Habibi orientalische Küche,84028,"Johannisstraße 11, 84034 Landshut",4.8,129,21–50,21,50,35.5,21.58,3.98,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Habibi+orientalische+K%C3%BCche/data=!4m7!3m6!1s0x479e25813406968d:0x383f391e9652dc02!8m2!3d48.5432185!4d12.1448378!16s%2Fg%2F11jx6q_vcp!19sChIJjZYGNIElnkcRAtxSlh45Pzg?authuser=0&hl=de&rclk=1
18,Volkswagen Zentrum Landshut Hans Eichbichler GmbH & Co. KG,84030,"Liebigstraße 4, 84030 Landshut",4.7,1637,11–20,11,20,15.5,0.94,4.665,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Volkswagen+Zentrum+Landshut+Hans+Eichbichler+GmbH+%26+Co.+KG/data=!4m7!3m6!1s0x479e25fd43186cad:0x4329b9a0746aa800!8m2!3d48.5508238!4d12.1487597!16s%2Fg%2F11c606qj64!19sChIJrWwYQ_0lnkcRAKhqdKC5KUM?authuser=0&hl=de&rclk=1
19,MY LY Wok & Sushi Bar,84028,"Ländgasse 122, 84028 Landshut",4.8,971,11–20,11,20,15.5,1.57,4.74,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/MY+LY+Wok+%26+Sushi+Bar/data=!4m7!3m6!1s0x479e267381ac2835:0x46bee1462266b9e0!8m2!3d48.53688!4d12.15093!16s%2Fg%2F1v6wn963!19sChIJNSisgXMmnkcR4LlmIkbhvkY?authuser=0&hl=de&rclk=1
20,Bäckerei Café Rauchensteiner,84144,"Ottostraße 1, 84144 Geisenhausen",4.8,569,11–20,11,20,15.5,2.65,4.699,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/B%C3%A4ckerei+Caf%C3%A9+Rauchensteiner/data=!4m7!3m6!1s0x4775898ea1a8cdff:0xcea849580762459d!8m2!3d48.4841505!4d12.2436626!16s%2Fg%2F1tdmj96r!19sChIJ_82ooY6JdUcRnUViB1hJqM4?authuser=0&hl=de&rclk=1
21,Restaurant Dynasty,84028,"Marschallstraße 19, 84028 Landshut",4.5,554,11–20,11,20,15.5,2.72,4.405,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Dynasty/data=!4m7!3m6!1s0x479e26146dd5cc5d:0x6eb48f6a71944ca!8m2!3d48.5413407!4d12.166903!16s%2Fg%2F1v1tm1xd!19sChIJXczVbRQmnkcRykQZp_ZI6wY?authuser=0&hl=de&rclk=1
22,Aladin's Kebap,84028,"Ritter-von-Schoch-Straße 19, 84036 Landshut",4.7,425,11–20,11,20,15.5,3.52,4.57,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Aladin%27s+Kebap/data=!4m7!3m6!1s0x479e26735a1546bf:0x75b3e67d0e1ec6ed!8m2!3d48.5459991!4d12.1799181!16s%2Fg%2F1v5k1_cq!19sChIJv0YVWnMmnkcR7cYeDn3ms3U?authuser=0&hl=de&rclk=1
