id,name,postcode,address,rating,reviewCount,category,lat,lng,bezirkId,bezirkName,hasDefamationNotice,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url,readAt,placeState,status,error
0x479e26740a5920e5:0xc4cb0d07823c6093,Sen Restaurant Landshut,84028,,4.7,179,Asiatisch,48.535568,12.1502332,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Sen+Restaurant+Landshut/data=!4m7!3m6!1s0x479e26740a5920e5:0xc4cb0d07823c6093!8m2!3d48.535568!4d12.1502332!16s%2Fg%2F1z449tlqb!19sChIJ5SBZCnQmnkcRk2A8ggcNy8Q?authuser=0&hl=de&rclk=1,2026-05-13T20:01:39Z,active,success,
0x479e267321146f63:0xa8998e135c9350ec,Siam Feinkost,84028,,4.7,245,Asiatisch,48.538245,12.154205,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Siam+Feinkost/data=!4m7!3m6!1s0x479e267321146f63:0xa8998e135c9350ec!8m2!3d48.538245!4d12.154205!16s%2Fg%2F1tw_m6qn!19sChIJY28UIXMmnkcR7FCTXBOOmag?authuser=0&hl=de&rclk=1,2026-05-13T20:14:55Z,active,success,
0x479e254340e40db9:0x44628b519400e1af,Simit Café,84028,,4.9,391,Restaurant,48.5475766,12.1108427,39,Gewerbepark Nürnberg-Feucht,true,2,5,3.5,0.89,4.865,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Simit+Caf%C3%A9/data=!4m7!3m6!1s0x479e254340e40db9:0x44628b519400e1af!8m2!3d48.5475766!4d12.1108427!16s%2Fg%2F11lfgc5gz7!19sChIJuQ3kQEMlnkcRr-EAlFGLYkQ?authuser=0&hl=de&rclk=1,2026-05-13T20:27:15Z,active,success,
0x479e2764d0b94d2b:0xda9e5a4b7d89444f,Singerhaus,84028,,4.8,67,Café / Konditorei,48.5343425,12.1503134,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Singerhaus/data=!4m7!3m6!1s0x479e2764d0b94d2b:0xda9e5a4b7d89444f!8m2!3d48.5343425!4d12.1503134!16s%2Fg%2F11yx1qj557!19sChIJK0250GQnnkcRT0SJfUtanto?authuser=0&hl=de&rclk=1,2026-05-13T20:27:07Z,active,success,
0x479e278e13ba0b1d:0x2da3780f5ed314c6,Solu`s Landshut - Türkisch-italienisches Restaurant,84028,,5,33,Restaurant,48.5434226,12.1715307,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Solu%60s+Landshut+-+T%C3%BCrkisch-italienisches+Restaurant/data=!4m7!3m6!1s0x479e278e13ba0b1d:0x2da3780f5ed314c6!8m2!3d48.5434226!4d12.1715307!16s%2Fg%2F11z36c3c9b!19sChIJHQu6E44nnkcRxhTTXg94oy0?authuser=0&hl=de&rclk=1,2026-05-13T20:00:16Z,active,success,
0x479e276124e8acb9:0xf4b86587b80d2106,Sonic Café,84028,,5,6,Bar / Kneipe,48.5347215,12.1519912,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Sonic+Caf%C3%A9/data=!4m7!3m6!1s0x479e276124e8acb9:0xf4b86587b80d2106!8m2!3d48.5347215!4d12.1519912!16s%2Fg%2F11x0gxjwc0!19sChIJuazoJGEnnkcRBiENuIdluPQ?authuser=0&hl=de&rclk=1,2026-05-13T20:08:38Z,active,success,
0x479e2673efa0856d:0x8c3321962cb60dde,Stegfellner,84028,,4.5,219,Restaurant,48.5352778,12.1508333,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Stegfellner/data=!4m7!3m6!1s0x479e2673efa0856d:0x8c3321962cb60dde!8m2!3d48.5352778!4d12.1508333!16s%2Fg%2F1tkl299f!19sChIJbYWg73MmnkcR3g22LJYhM4w?authuser=0&hl=de&rclk=1,2026-05-13T20:08:52Z,active,success,
0x479e260b3fa12e71:0x6a1cecbde5098102,Sultan Grill,84028,,4.8,269,Imbiss,48.540754,12.1504159,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Sultan+Grill/data=!4m7!3m6!1s0x479e260b3fa12e71:0x6a1cecbde5098102!8m2!3d48.540754!4d12.1504159!16s%2Fg%2F11d_1tcmpt!19sChIJcS6hPwsmnkcRAoEJ5b3sHGo?authuser=0&hl=de&rclk=1,2026-05-13T20:10:46Z,active,success,
0x479e2534bfbcbd29:0xab852a9b3f842c82,Surahi Landshut - indische Spezialitäten Restaurant,84028,,4.7,151,Asiatisch,48.5503456,12.1406203,39,Gewerbepark Nürnberg-Feucht,true,6,10,8,5.03,4.514,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Surahi+Landshut+-+indische+Spezialit%C3%A4ten+Restaurant/data=!4m7!3m6!1s0x479e2534bfbcbd29:0xab852a9b3f842c82!8m2!3d48.5503456!4d12.1406203!16s%2Fg%2F11ssvfc831!19sChIJKb28vzQlnkcRgiyEP5sqhas?authuser=0&hl=de&rclk=1,2026-05-13T20:18:17Z,active,success,
0x479e2679c4475aa5:0xd0ef75a7ffc09748,TAGWERK Biomarkt Frisch & Fein,84028,,4.6,87,Lebensmittel,48.5293213,12.144939,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/TAGWERK+Biomarkt+Frisch+%26+Fein/data=!4m7!3m6!1s0x479e2679c4475aa5:0xd0ef75a7ffc09748!8m2!3d48.5293213!4d12.144939!16s%2Fg%2F1tmptzfx!19sChIJpVpHxHkmnkcRSJfA_6d179A?authuser=0&hl=de&rclk=1,2026-05-13T20:28:18Z,active,success,
